Date,Items,Type,Total,Wallet,
"15 Jan, 2018","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","66,00 TL"
,,Visa **17,,,
"15 Jan, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","56,00 TL"
,,Visa **17,,,
"12 Jan, 2018",NBA 2K18,In-Game Purchase,"49,00 TL","-49,00 TL","36,00 TL"
,"75,000 VC",Wallet,,,
"12 Jan, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","85,00 TL"
,,Visa **17,,,
"12 Jan, 2018","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","65,00 TL"
,,Visa **17,,,
"10 Jan, 2018",NBA 2K18,In-Game Purchase,"49,00 TL","-49,00 TL","45,00 TL"
,"75,000 VC",Wallet,,,
"10 Jan, 2018","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","94,00 TL"
,,Visa **17,,,
"31 Dec, 2017",Steam Community Market,3 Market Transactions,"0,47 TL","-0,47 TL","44,00 TL"
,,Wallet,,,
"28 Dec, 2017",Steam Community Market,3 Market Transactions,"55,54 TL","-55,54 TL","44,47 TL"
,,Wallet,,,
"27 Dec, 2017","Purchased 100,00 TL Wallet Credit",Purchase,"100,00 TL","+100,00 TL","100,01 TL"
,,Visa **17,,,
"28 Nov, 2017",Steam Community Market,Market Transaction,"0,01 TL","+0,01 TL","0,01 TL"
,,Wallet,Credit,,
"31 Oct, 2017",Don't Starve Together,Purchase,"15,60 TL","-0,64 TL","0,00 TL"
,,"0,64 TL Wallet",,,
,,"14,96 TL Visa",,,
"23 Oct, 2017",Steam Community Market,Market Transaction,"0,01 TL","+0,01 TL","0,64 TL"
,,Wallet,Credit,,
"14 Oct, 2017",Steam Community Market,Market Transaction,"0,01 TL","+0,01 TL","0,63 TL"
,,Wallet,Credit,,
"10 Oct, 2017",Steam Community Market,Market Transaction,"0,01 TL","+0,01 TL","0,62 TL"
,,Wallet,Credit,,
"2 Oct, 2017",Steam Community Market,Market Transaction,"0,03 TL","+0,03 TL","0,61 TL"
,,Wallet,Credit,,
"1 Oct, 2017",Steam Community Market,3 Market Transactions,"8,08 TL","-8,08 TL","0,58 TL"
,,Wallet,,,
"30 Sep, 2017",Steam Community Market,3 Market Transactions,"5,55 TL","+5,55 TL","8,66 TL"
,,Wallet,Credit,,
"15 Sep, 2017",NBA 2K18,In-Game Purchase,"12,00 TL","-12,00 TL","3,11 TL"
,"15,000 VC",Wallet,,,
"15 Sep, 2017",NBA 2K18,In-Game Purchase,"49,00 TL","-49,00 TL","15,11 TL"
,"75,000 VC",Wallet,,,
"15 Sep, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","64,11 TL"
,,Visa **17,,,
"15 Sep, 2017",NBA 2K18,In-Game Purchase,"110,00 TL","-110,00 TL","44,11 TL"
,"200,000 VC",Wallet,,,
"8 Sep, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","154,11 TL"
,,Visa **17,,,
"8 Sep, 2017","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","144,11 TL"
,,Visa **17,,,
"7 Sep, 2017",Steam Community Market,3 Market Transactions,"5,12 TL","+5,12 TL","94,11 TL"
,,Wallet,Credit,,
"30 Aug, 2017",Tom Clancy's Rainbow Six® Siege,In-Game Purchase,"9,99 TL","-9,99 TL","88,99 TL"
,Skin Amethyst,Wallet,,,
"29 Aug, 2017",Tom Clancy's Rainbow Six® Siege,In-Game Purchase,"9,99 TL","-9,99 TL","98,98 TL"
,Skin Emerald,Wallet,,,
"28 Aug, 2017",Steam Community Market,Market Transaction,"27,83 TL","+27,83 TL","108,97 TL"
,,Wallet,Credit,,
"27 Aug, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","81,14 TL"
,,Visa **17,,,
"20 Aug, 2017",NBA 2K18 - Legend Edition,Purchase,"340,00 TL","-340,00 TL","61,14 TL"
,,Wallet,,,
"20 Aug, 2017","Purchased 100,00 TL Wallet Credit",Purchase,"100,00 TL","+100,00 TL","401,14 TL"
,,Visa **17,,,
"20 Aug, 2017","Purchased 200,00 TL Wallet Credit",Purchase,"200,00 TL","+200,00 TL","301,14 TL"
,,Visa **17,,,
"9 Aug, 2017",Steam Community Market,10 Market Transactions,"29,15 TL","+29,15 TL","101,14 TL"
,,Wallet,Credit,,
"5 Aug, 2017",Steam Community Market,5 Market Transactions,"56,23 TL","+56,23 TL","71,99 TL"
,,Wallet,Credit,,
"30 Jul, 2017",Steam Community Market,3 Market Transactions,"19,13 TL","-19,13 TL","15,76 TL"
,,Wallet,,,
"29 Jul, 2017",Steam Community Market,3 Market Transactions,"21,42 TL","-21,42 TL","34,89 TL"
,,Wallet,,,
"28 Jul, 2017",Steam Community Market,2 Market Transactions,"1,50 TL","-1,50 TL","56,31 TL"
,,Wallet,,,
"27 Jul, 2017",Steam Community Market,Market Transaction,"57,61 TL","+57,61 TL","57,81 TL"
,,Wallet,Credit,,
"23 Jul, 2017",Steam Community Market,Market Transaction,"0,01 TL","+0,01 TL","0,20 TL"
,,Wallet,Credit,,
"17 Jul, 2017",Steam Community Market,Market Transaction,"0,18 TL","+0,18 TL","0,19 TL"
,,Wallet,Credit,,
"15 Jul, 2017",Steam Community Market,2 Market Transactions,"1,72 TL","-1,72 TL","0,01 TL"
,,Wallet,,,
"14 Jul, 2017",Steam Community Market,2 Market Transactions,"1,62 TL","+1,62 TL","1,73 TL"
,,Wallet,Credit,,
"13 Jul, 2017",Steam Community Market,6 Market Transactions,"0,06 TL","+0,06 TL","0,11 TL"
,,Wallet,Credit,,
"13 Jul, 2017",Steam Community Market,3 Market Transactions,"0,30 TL","-0,30 TL","0,05 TL"
,,Wallet,,,
"13 Jul, 2017",Steam Community Market,5 Market Transactions,"0,05 TL","+0,05 TL","0,35 TL"
,,Wallet,Credit,,
"11 Jul, 2017",Steam Community Market,Market Transaction,"0,85 TL","-0,85 TL","0,30 TL"
,,Wallet,,,
"11 Jul, 2017",Steam Community Market,Market Transaction,"0,98 TL","+0,98 TL","1,15 TL"
,,Wallet,Credit,,
"11 Jul, 2017",Steam Community Market,Market Transaction,"53,88 TL","-53,88 TL","0,17 TL"
,,Wallet,,,
"11 Jul, 2017",Steam Community Market,Market Transaction,"1,85 TL","+1,85 TL","54,05 TL"
,,Wallet,Credit,,
"11 Jul, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","52,20 TL"
,,Visa **17,,,
"11 Jul, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","42,20 TL"
,,Visa **17,,,
"11 Jul, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","22,20 TL"
,,Visa **17,,,
"9 Jul, 2017",Steam Community Market,3 Market Transactions,"1,55 TL","+1,55 TL","2,20 TL"
,,Wallet,Credit,,
"9 Jul, 2017",Steam Community Market,5 Market Transactions,"19,21 TL","-19,21 TL","0,65 TL"
,,Wallet,,,
"9 Jul, 2017",Steam Community Market,Market Transaction,"0,01 TL","+0,01 TL","19,86 TL"
,,Wallet,Credit,,
"7 Jul, 2017",Steam Community Market,11 Market Transactions,"0,98 TL","+0,98 TL","19,85 TL"
,,Wallet,Credit,,
"7 Jul, 2017",Steam Community Market,Market Transaction,"1,12 TL","-1,12 TL","18,87 TL"
,,Wallet,,,
"7 Jul, 2017",Steam Community Market,7 Market Transactions,"0,88 TL","+0,88 TL","19,99 TL"
,,Wallet,Credit,,
"7 Jul, 2017",Steam Community Market,Market Transaction,"26,47 TL","-26,47 TL","19,11 TL"
,,Wallet,,,
"7 Jul, 2017",Steam Community Market,10 Market Transactions,"3,01 TL","+3,01 TL","45,58 TL"
,,Wallet,Credit,,
"7 Jul, 2017",Steam Community Market,4 Market Transactions,"14,03 TL","-14,03 TL","42,57 TL"
,,Wallet,,,
"7 Jul, 2017",Rocket League&amp;reg;,Refund,"18,60 TL","+18,60 TL","56,60 TL"
,Refund,Wallet Credit,,,
"6 Jul, 2017",Passpartout,Refund,"18,00 TL","+18,00 TL","38,00 TL"
,Refund,Wallet Credit,,,
"6 Jul, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,00 TL"
,,Visa **17,,,
"6 Jul, 2017",Passpartout,Purchase,"18,00 TL","-18,00 TL","0,00 TL"
,,Wallet,,,
"5 Jul, 2017",Passpartout,Refund,"18,00 TL","+18,00 TL","18,00 TL"
,Refund,"0,24 TL Wallet",,,
,,"17,76 TL Visa",,,
"5 Jul, 2017",Passpartout,Purchase,"18,00 TL","-0,24 TL","0,00 TL"
,,"0,24 TL Wallet",,,
,,"17,76 TL Visa",,,
"5 Jul, 2017",Steam Community Market,Market Transaction,"0,04 TL","-0,04 TL","0,24 TL"
,,Wallet,,,
"29 Jun, 2017",Left 4 Dead 2,Purchase,"3,10 TL","-3,10 TL","0,28 TL"
,,Wallet,,,
"28 Jun, 2017",Steam Community Market,Market Transaction,"0,39 TL","+0,39 TL","3,38 TL"
,,Wallet,Credit,,
"23 Jun, 2017",Steam Community Market,3 Market Transactions,"2,99 TL","+2,99 TL","2,99 TL"
,,Wallet,Credit,,
"23 Jun, 2017",NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 -Shikamaru's Tale Extra Scenario Pack,Purchase,"62,81 TL","-34,20 TL","0,00 TL"
,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Gaara's Tale Extra Scenario Pack,"34,20 TL Wallet",,,
,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - The Sound Four Characters Pack,"28,61 TL Visa",,,
,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,,,,
,NARUTO STORM 4 : Road to Boruto Expansion,,,,
"23 Jun, 2017",Rocket League&amp;reg;,Purchase,"18,60 TL","-18,60 TL","34,20 TL"
,,Wallet,,,
"23 Jun, 2017",This War of Mine,Purchase,"6,20 TL","-6,20 TL","52,80 TL"
,,Wallet,,,
"21 Jun, 2017",Friday the 13th: The Game,Refund,"59,00 TL","+59,00 TL","59,00 TL"
,Refund,"23,65 TL Wallet",,,
,,"35,35 TL Visa",,,
"20 Jun, 2017",Friday the 13th: The Game,Purchase,"59,00 TL","-23,65 TL","0,00 TL"
,,"23,65 TL Wallet",,,
,,"35,35 TL Visa",,,
"15 Jun, 2017",Steam Community Market,6 Market Transactions,"23,65 TL","+23,65 TL","23,65 TL"
,,Wallet,Credit,,
"15 Jun, 2017",Grand Theft Auto V,In-Game Purchase,"25,99 TL","-25,99 TL","0,00 TL"
,Great White Shark Cash Card,Wallet,,,
"15 Jun, 2017","Purchased 25,49 TL Wallet Credit",Purchase,"25,49 TL","+25,49 TL","25,99 TL"
,,Visa **17,,,
"15 Jun, 2017",Grand Theft Auto V,In-Game Purchase,"6,49 TL","-6,49 TL","0,50 TL"
,Tiger Shark Cash Card,Wallet,,,
"15 Jun, 2017",Steam Community Market,3 Market Transactions,"6,99 TL","+6,99 TL","6,99 TL"
,,Wallet,Credit,,
"14 Jun, 2017",Grand Theft Auto V,Purchase,"179,00 TL","-0,04 TL","0,00 TL"
,,"0,04 TL Wallet",,,
,,"178,96 TL Visa",,,
"11 Jun, 2017",Steam Community Market,Market Transaction,"3,83 TL","-3,83 TL","0,04 TL"
,,Wallet,,,
"10 Jun, 2017",Steam Community Market,4 Market Transactions,"2,65 TL","+2,65 TL","3,87 TL"
,,Wallet,Credit,,
"8 Jun, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","1,22 TL"
,Gamma Case Key,Wallet,,,
"7 Jun, 2017",Steam Community Market,Market Transaction,"9,18 TL","+9,18 TL","10,37 TL"
,,Wallet,Credit,,
"7 Jun, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","1,19 TL"
,Glove Case Key,Wallet,,,
"7 Jun, 2017",Steam Community Market,Market Transaction,"3,97 TL","+3,97 TL","10,34 TL"
,,Wallet,Credit,,
"7 Jun, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","6,37 TL"
,Glove Case Key,Wallet,,,
"7 Jun, 2017",Steam Community Market,3 Market Transactions,"0,15 TL","-0,15 TL","15,52 TL"
,,Wallet,,,
"7 Jun, 2017",Steam Community Market,5 Market Transactions,"15,65 TL","+15,65 TL","15,67 TL"
,,Wallet,Credit,,
"7 Jun, 2017",Counter-Strike 2,In-Game Purchase,"18,30 TL","-18,30 TL","0,02 TL"
,2 Operation Hydra Case Key,Wallet,,,
"7 Jun, 2017",Steam Community Market,2 Market Transactions,"4,19 TL","-4,19 TL","18,32 TL"
,,Wallet,,,
"7 Jun, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","22,51 TL"
,,Visa **17,,,
"2 Jun, 2017",Steam Community Market,Market Transaction,"2,59 TL","-2,59 TL","2,51 TL"
,,Wallet,,,
"2 Jun, 2017",Counter-Strike 2,In-Game Purchase,"3,65 TL","-3,65 TL","5,10 TL"
,Enfu Sticker Capsule,Wallet,,,
"2 Jun, 2017",Counter-Strike 2,In-Game Purchase,"3,65 TL","-3,65 TL","8,75 TL"
,Sugarface Sticker Capsule,Wallet,,,
"2 Jun, 2017",Steam Community Market,Market Transaction,"4,54 TL","-4,54 TL","12,40 TL"
,,Wallet,,,
"2 Jun, 2017",Counter-Strike 2,In-Game Purchase,"22,00 TL","-22,00 TL","16,94 TL"
,Operation Hydra Access Pass,Wallet,,,
"2 Jun, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","38,94 TL"
,Glove Case Key,Wallet,,,
"2 Jun, 2017",ASTRONEER,Purchase,"32,50 TL","-32,50 TL","48,09 TL"
,,Wallet,,,
"2 Jun, 2017",Steam Community Market,Market Transaction,"77,58 TL","+77,58 TL","80,59 TL"
,,Wallet,Credit,,
"30 May, 2017",Tom Clancy's Rainbow Six Siege,Purchase,"139,00 TL","-139,00 TL","3,01 TL"
,,Wallet,,,
"30 May, 2017","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","142,01 TL"
,,Visa **17,,,
"30 May, 2017",Steam Community Market,2 Market Transactions,"91,75 TL","+91,75 TL","92,01 TL"
,,Wallet,Credit,,
"27 May, 2017",Steam Community Market,Market Transaction,"0,58 TL","-0,58 TL","0,26 TL"
,,Wallet,,,
"23 May, 2017",Steam Community Market,5 Market Transactions,"9,80 TL","-9,80 TL","0,84 TL"
,,Wallet,,,
"23 May, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,64 TL"
,,MasterCard **28,,,
"23 May, 2017",Steam Community Market,34 Market Transactions,"60,29 TL","-60,29 TL","0,64 TL"
,,Wallet,,,
"20 May, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","60,93 TL"
,,MasterCard **28,,,
"20 May, 2017","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","50,93 TL"
,,MasterCard **28,,,
"20 May, 2017",Steam Community Market,Market Transaction,"9,56 TL","-9,56 TL","0,93 TL"
,,Wallet,,,
"20 May, 2017",Steam Community Market,Market Transaction,"10,01 TL","+10,01 TL","10,49 TL"
,,Wallet,Credit,,
"20 May, 2017",PAYDAY 2: John Wick Weapon Pack,Purchase,"9,52 TL","-9,52 TL","0,48 TL"
,PAYDAY 2: Biker Character Pack,Wallet,,,
,PAYDAY 2: Yakuza Character Pack,,,,
,PAYDAY 2: The Butcher's BBQ Pack,,,,
,PAYDAY 2: The OVERKILL Pack,,,,
,PAYDAY 2: The OVERKILL B-Sides Soundtrack,,,,
,PAYDAY 2: The Official Soundtrack,,,,
"20 May, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,00 TL"
,,MasterCard **05,,,
"19 May, 2017",PAYDAY 2: Gage Mod Courier,Purchase,"1,02 TL",,
,,MasterCard **05,,,
"19 May, 2017",PAYDAY 2: The Butcher's AK/CAR Mod Pack,Purchase,"1,50 TL","-0,39 TL","0,00 TL"
,,"0,39 TL Wallet",,,
,,"1,11 TL MasterCard",,,
"19 May, 2017",PAYDAY 2: Gage Ninja Pack,Purchase,"1,50 TL","-0,50 TL","0,39 TL"
,,"0,50 TL Wallet",,,
,,"1,00 TL MasterCard",,,
"19 May, 2017",PAYDAY 2: The Biker Heist,Purchase,"11,34 TL","-11,34 TL","0,89 TL"
,PAYDAY 2: The Bomb Heists,Wallet,,,
,PAYDAY 2: The Goat Simulator Heist,,,,
,PAYDAY 2: The Butcher's Western Pack,,,,
,PAYDAY 2: Gage Shotgun Pack,,,,
,PAYDAY 2: Gage Historical Pack,,,,
,PAYDAY 2: The Point Break Heists,,,,
"19 May, 2017",PAYDAY 2: The Alesso Heist,Purchase,"4,17 TL","-4,17 TL","12,23 TL"
,PAYDAY 2: Gage Sniper Pack,Wallet,,,
,PAYDAY 2: Hotline Miami,,,,
"19 May, 2017",PAYDAY 2: The Diamond Heist,Purchase,"1,20 TL","-1,20 TL","16,40 TL"
,,Wallet,,,
"19 May, 2017",PAYDAY 2: The Wolf Pack,Purchase,"1,95 TL","-1,95 TL","17,60 TL"
,,Wallet,,,
"19 May, 2017",PAYDAY 2: Gage Spec Ops Pack,Purchase,"1,50 TL","-1,50 TL","19,55 TL"
,,Wallet,,,
"19 May, 2017",PAYDAY 2: Scarface Heist,Purchase,"1,95 TL","-1,95 TL","21,05 TL"
,,Wallet,,,
"19 May, 2017",PAYDAY 2: Gage Chivalry Pack,Purchase,"1,50 TL","-1,50 TL","23,00 TL"
,,Wallet,,,
"19 May, 2017",PAYDAY 2: Gage Weapon Pack #02,Purchase,"1,02 TL","-1,02 TL","24,50 TL"
,,Wallet,,,
"19 May, 2017",PAYDAY 2: The Golden Grin Casino Heist,Purchase,"1,95 TL","-1,95 TL","25,52 TL"
,,Wallet,,,
"19 May, 2017",PAYDAY 2: Gage Weapon Pack #01,Purchase,"1,02 TL","-1,02 TL","27,47 TL"
,,Wallet,,,
"19 May, 2017",PAYDAY 2: Clover Character Pack,Purchase,"1,02 TL","-1,02 TL","28,49 TL"
,,Wallet,,,
"18 May, 2017",PAYDAY 2: Scarface Character Pack,Purchase,"1,50 TL","-1,50 TL","29,51 TL"
,,Wallet,,,
"18 May, 2017",Payday 2: Armored Transport Steam Store and Retail Key,Purchase,"1,20 TL","-1,20 TL","31,01 TL"
,,Wallet,,,
"18 May, 2017",PAYDAY 2: Gage Assault Pack,Purchase,"1,02 TL","-1,02 TL","32,21 TL"
,,Wallet,,,
"18 May, 2017",PAYDAY 2: Sokol Character Pack,Purchase,"1,50 TL","-1,50 TL","33,23 TL"
,,Wallet,,,
"18 May, 2017",PAYDAY 2: Dragan Character Pack,Purchase,"1,50 TL","-1,50 TL","34,73 TL"
,,Wallet,,,
"18 May, 2017",PAYDAY 2 - Pre-2024-08,Gift Purchase,"31,00 TL","-31,00 TL","36,23 TL"
,Picture,Wallet,,,
,Gift sent to Triplet-???-,,,,
"18 May, 2017",PAYDAY 2: The Big Bank Heist,Purchase,"1,20 TL","-1,20 TL","67,23 TL"
,,Wallet,,,
"18 May, 2017",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","68,43 TL"
,Name Tag,Wallet,,,
"18 May, 2017",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","75,73 TL"
,Name Tag,Wallet,,,
"18 May, 2017",Counter-Strike 2,In-Game Purchase,"7,30 TL","-7,30 TL","83,03 TL"
,Name Tag,Wallet,,,
"17 May, 2017",PAYDAY 2: John Wick Heists,Purchase,"1,95 TL","-1,95 TL","90,33 TL"
,,Wallet,,,
"17 May, 2017",PAYDAY 2: Sydney Character Pack,Purchase,"1,50 TL","-1,50 TL","92,28 TL"
,,Wallet,,,
"17 May, 2017",PAYDAY 2: Gage Russian Weapon Pack,Purchase,"1,50 TL","-1,50 TL","93,78 TL"
,,Wallet,,,
"16 May, 2017",Steam Community Market,Market Transaction,"1,19 TL","+1,19 TL","95,28 TL"
,,Wallet,Credit,,
"16 May, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","94,09 TL"
,,MasterCard **05,,,
"16 May, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","84,09 TL"
,,MasterCard **05,,,
"16 May, 2017","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","64,09 TL"
,,MasterCard **05,,,
"16 May, 2017",Steam Community Market,Market Transaction,"4,83 TL","+4,83 TL","14,09 TL"
,,Wallet,Credit,,
"16 May, 2017",Steam Community Market,8 Market Transactions,"198,86 TL","-198,86 TL","9,26 TL"
,,Wallet,,,
"14 May, 2017","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","208,12 TL"
,,Retail,,,
"14 May, 2017","Purchased 25,00 TL Wallet Credit",Purchase,"25,00 TL","+25,00 TL","158,12 TL"
,,Retail,,,
"14 May, 2017","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","133,12 TL"
,,Retail,,,
"13 May, 2017","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","83,12 TL"
,,MasterCard **26,,,
"13 May, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","33,12 TL"
,Chroma 3 Case Key,Wallet,,,
"12 May, 2017",Counter-Strike 2,In-Game Purchase,"18,30 TL","-18,30 TL","42,27 TL"
,2 Chroma 3 Case Key,Wallet,,,
"12 May, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","60,57 TL"
,Glove Case Key,Wallet,,,
"12 May, 2017","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","69,72 TL"
,,MasterCard **20,,,
"12 May, 2017",Steam Community Market,Market Transaction,"52,35 TL","-52,35 TL","19,72 TL"
,,Wallet,,,
"11 May, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","72,07 TL"
,,Visa **17,,,
"11 May, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","62,07 TL"
,,Visa **17,,,
"11 May, 2017","Purchased 50,00 TL Wallet Credit",Purchase,"50,00 TL","+50,00 TL","52,07 TL"
,,Visa **17,,,
"6 May, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","2,07 TL"
,Glove Case Key,Wallet,,,
"6 May, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","11,22 TL"
,,Visa **17,,,
"6 May, 2017",Steam Community Market,2 Market Transactions,"5,76 TL","-5,76 TL","1,22 TL"
,,Wallet,,,
"6 May, 2017",Steam Community Market,2 Market Transactions,"5,55 TL","+5,55 TL","6,98 TL"
,,Wallet,Credit,,
"6 May, 2017",Steam Community Market,Market Transaction,"8,94 TL","-8,94 TL","1,43 TL"
,,Wallet,,,
"5 May, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","10,37 TL"
,,Visa **17,,,
"26 Apr, 2017",Steam Community Market,Market Transaction,"0,65 TL","-0,65 TL","0,37 TL"
,,Wallet,,,
"26 Apr, 2017",PLAYERUNKNOWN'S BATTLEGROUNDS - Worldwide Package,Purchase,"69,00 TL","-69,00 TL","1,02 TL"
,,Wallet,,,
"26 Apr, 2017",Steam Community Market,3 Market Transactions,"68,03 TL","+68,03 TL","70,02 TL"
,,Wallet,Credit,,
"25 Apr, 2017",Steam Community Market,Market Transaction,"1,98 TL","-1,98 TL","1,99 TL"
,,Wallet,,,
"25 Apr, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","3,97 TL"
,Gamma Case Key,Wallet,,,
"25 Apr, 2017",Steam Community Market,Market Transaction,"13,31 TL","-13,31 TL","13,12 TL"
,,Wallet,,,
"25 Apr, 2017",Counter-Strike 2,In-Game Purchase,"3,65 TL","-3,65 TL","26,43 TL"
,Bestiary Sticker Capsule,Wallet,,,
"25 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,08 TL"
,,Visa **17,,,
"25 Apr, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,08 TL"
,,Visa **17,,,
"22 Apr, 2017",Steam Community Market,2 Market Transactions,"0,25 TL","-0,25 TL","0,08 TL"
,,Wallet,,,
"20 Apr, 2017",Steam Community Market,Market Transaction,"1,44 TL","-1,44 TL","0,33 TL"
,,Wallet,,,
"18 Apr, 2017",Steam Community Market,Market Transaction,"53,65 TL","-53,65 TL","1,77 TL"
,,Wallet,,,
"18 Apr, 2017",Steam Community Market,2 Market Transactions,"2,86 TL","+2,86 TL","55,42 TL"
,,Wallet,Credit,,
"18 Apr, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","52,56 TL"
,,Visa **17,,,
"18 Apr, 2017",Steam Community Market,2 Market Transactions,"18,94 TL","+18,94 TL","32,56 TL"
,,Wallet,Credit,,
"18 Apr, 2017",Steam Community Market,Market Transaction,"27,29 TL","-27,29 TL","13,62 TL"
,,Wallet,,,
"18 Apr, 2017",Steam Community Market,2 Market Transactions,"0,38 TL","+0,38 TL","40,91 TL"
,,Wallet,Credit,,
"18 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","40,53 TL"
,,Visa **17,,,
"18 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,53 TL"
,,Visa **17,,,
"18 Apr, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,53 TL"
,,Visa **17,,,
"17 Apr, 2017",Steam Community Market,Market Transaction,"0,46 TL","+0,46 TL","0,53 TL"
,,Wallet,Credit,,
"17 Apr, 2017",Steam Community Market,Market Transaction,"12,77 TL","-12,77 TL","0,07 TL"
,,Wallet,,,
"17 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","12,84 TL"
,,Visa **17,,,
"17 Apr, 2017",Steam Community Market,2 Market Transactions,"1,61 TL","+1,61 TL","2,84 TL"
,,Wallet,Credit,,
"17 Apr, 2017",Counter-Strike 2,In-Game Purchase,"3,65 TL","-3,65 TL","1,23 TL"
,Sugarface Sticker Capsule,Wallet,,,
"17 Apr, 2017",Counter-Strike 2,In-Game Purchase,"3,65 TL","-3,65 TL","4,88 TL"
,Bestiary Sticker Capsule,Wallet,,,
"16 Apr, 2017",Steam Community Market,8 Market Transactions,"8,03 TL","+8,03 TL","8,53 TL"
,,Wallet,Credit,,
"16 Apr, 2017",Steam Community Market,Market Transaction,"0,06 TL","-0,06 TL","0,50 TL"
,,Wallet,,,
"14 Apr, 2017",Steam Community Market,Market Transaction,"7,02 TL","-7,02 TL","0,56 TL"
,,Wallet,,,
"14 Apr, 2017",Counter-Strike 2,In-Game Purchase,"9,15 TL","-9,15 TL","7,58 TL"
,Spectrum Case Key,Wallet,,,
"14 Apr, 2017",Steam Community Market,2 Market Transactions,"13,49 TL","-13,49 TL","16,73 TL"
,,Wallet,,,
"14 Apr, 2017","Purchased 10,00 TL Wallet Credit",Purchase,"10,00 TL","+10,00 TL","30,22 TL"
,,Visa **17,,,
"14 Apr, 2017","Purchased 20,00 TL Wallet Credit",Purchase,"20,00 TL","+20,00 TL","20,22 TL"
,,Visa **17,,,
